lang	worker	num_hits	quality	quality_syn	num_langs	goog
lb	2449	10	0.450	0.500	0	0.0
lb	5285	1	0.000	0.000	0	0.0
lb	5284	6	0.000	0.000	0	0.0
lb	3955	60	0.050	0.342	0	0.0
lb	5286	8	0.500	0.688	0	0.0
lb	4441	1	0.500	0.500	0	0.0
lb	122	13	0.000	0.115	many	0.0
lb	5465	4	0.625	0.875	0	0.0
lb	5466	8	0.000	0.000	1	0.0
lb	5486	73	0.397	0.575	many	0.0
lb	4543	1	0.000	0.000	0	0.0
lb	4545	2	0.000	0.000	0	0.0
lb	5107	11	0.000	0.000	0	0.0
lb	4778	47	0.468	0.596	0	0.0
lb	5257	1	0.000	0.000	0	0.0
lb	5344	10	0.000	0.000	0	0.0
lb	5345	2	0.000	0.750	0	0.0
lb	5346	2	0.500	0.500	0	0.0
lb	5181	14	0.000	0.000	0	0.0
lb	1433	1	0.000	0.000	1	0.662
lb	5364	3	0.000	0.167	1	0.0
lb	1431	47	0.660	0.862	1	0.0
lb	5223	1	0.500	0.500	many	0.655
lb	4906	1	0.500	1.000	0	0.0
lb	5246	4	0.000	0.000	0	0.0
lb	5537	1	0.000	0.000	0	0.0
lb	4910	1	1.000	1.000	0	0.0
lb	4836	18	0.000	0.000	0	0.0
lb	5568	25	0.400	0.580	0	0.0
lb	5379	1	0.000	0.500	0	0.0
lb	4450	1	0.000	0.000	1	0.0
lb	2160	3	0.500	0.500	0	0.0
lb	5353	1	1.000	1.000	0	0.0
tt	5442	1	0.000	0.000	1	0.0
tt	1628	5	0.000	0.000	0	0.0
tr	1147	1	1.000	1.000	many	0.4
tr	4479	13	0.846	0.923	0	0.362
tr	4478	9	0.111	0.444	1	0.256
tr	4228	22	0.841	0.932	0	0.6
tr	2459	1	1.000	1.000	1	0.5
tr	2458	3	0.667	0.833	1	0.0
tr	4671	135	0.667	0.856	0	0.6
tr	2455	3	0.833	1.000	1	0.467
tr	3177	594	0.551	0.744	1	0.391
tr	3804	28	0.750	0.875	1	0.343
tr	931	1	1.000	1.000	1	0.4
tr	930	17	0.794	0.912	1	0.353
tr	2457	1	0.500	0.500	0	0.0
tr	3834	26	0.596	0.808	many	0.649
tr	3806	5	0.200	0.200	0	0.28
tr	2460	10	0.650	0.800	0	0.0
tr	4037	221	0.724	0.837	1	0.395
tr	916	2	0.500	0.500	0	0.529
tr	4641	1	1.000	1.000	1	0.233
tr	4400	1	0.500	0.500	0	0.0
tr	2798	1	0.500	1.000	1	0.3
tr	2799	13	0.654	0.769	1	0.385
tr	4480	2	0.500	0.750	0	0.35
tr	4481	7	0.571	0.786	0	0.329
tr	4482	1	0.500	0.500	0	0.5
tr	984	125	0.664	0.880	0	0.601
tr	4651	3	0.833	1.000	0	0.333
tr	4650	2	0.250	0.500	0	0.35
tr	4652	1	0.000	0.000	0	0.4
tr	4128	5	0.900	1.000	1	0.36
tr	3470	144	0.569	0.604	0	0.333
tr	4127	9	0.722	0.889	1	0.211
tr	4126	126	0.567	0.794	1	0.0
tr	4125	104	0.572	0.726	1	0.318
tr	4124	3	0.667	0.667	0	0.367
tr	2177	18	0.639	0.861	0	0.447
tr	4476	1	0.000	0.500	0	0.3
tr	2077	9	0.722	0.944	1	0.597
tr	3812	21	0.667	0.857	0	0.0
tr	4195	4	0.750	1.000	1	0.425
tr	4358	2	0.750	1.000	0	0.35
tr	4359	3	1.000	1.000	0	0.367
tr	243	26	0.731	0.923	many	0.66
tr	4354	13	0.731	0.846	1	0.454
tr	4355	11	0.636	0.864	0	0.427
tr	4356	9	0.722	0.944	0	0.456
tr	4357	3	0.333	0.500	0	0.067
tr	4350	25	0.340	0.460	0	0.396
tr	4351	13	0.731	1.000	1	0.308
tr	4352	3	0.667	0.833	1	0.233
tr	4353	1	0.000	0.500	0	0.2
tr	5088	1	0.000	0.500	1	0.5
tr	3461	2	0.750	1.000	1	0.6
tr	3013	3	0.667	0.667	many	0.543
tr	4752	15	0.567	0.600	0	0.3
tr	4818	2	1.000	1.000	0	0.4
tr	5087	2	1.000	1.000	1	0.05
tr	3593	10	0.750	0.950	0	0.0
tr	3592	8	0.875	0.938	0	0.375
tr	3591	40	0.425	0.637	1	0.323
tr	3590	5	0.800	0.900	1	0.3
tr	3597	1	0.000	0.000	0	0.0
tr	3596	71	0.732	0.908	1	0.466
tr	3595	2	0.250	0.250	1	0.35
tr	3594	12	0.833	0.958	1	0.367
tr	3805	6	0.750	0.833	1	0.25
tr	2454	362	0.713	0.895	1	0.352
tr	3599	4	0.250	0.500	0	0.425
tr	2456	24	0.271	0.688	0	0.1
tr	2451	25	0.900	1.000	0	0.364
tr	2450	2	0.750	1.000	1	0.4
tr	3802	60	0.750	0.842	0	0.31
tr	2802	3	0.500	1.000	0	0.467
tr	2803	1	0.500	1.000	1	0.6
tr	2800	2	0.000	0.500	0	0.1
tr	2801	1	1.000	1.000	0	0.4
tr	2804	1	0.500	0.500	1	0.3
tr	3214	2	0.000	0.500	1	0.45
tr	3215	1	1.000	1.000	0	0.6
tr	3213	105	0.471	0.748	1	0.32
tr	4820	1	0.000	0.500	0	0.2
tr	2113	9	0.833	0.889	1	0.1
tr	3600	4	0.500	0.875	0	0.3
tr	3178	53	0.726	0.849	0	0.0
tr	3829	29	0.603	0.862	0	0.667
tr	164	9	0.444	0.667	1	0.422
tr	165	1	1.000	1.000	1	0.6
tr	166	3	0.000	0.000	many	0.0
tr	167	12	0.583	0.833	1	0.467
tr	1914	1	0.500	0.500	0	0.2
tr	4600	37	0.432	0.595	1	0.27
tr	4601	2	0.500	0.750	0	0.45
tr	3208	868	0.581	0.827	1	0.413
tr	3752	1	1.000	1.000	0	0.4
tr	4819	5	0.100	0.200	0	0.12
tr	5080	1	0.500	1.000	0	0.506
tr	2130	7	0.500	0.643	many	0.36
tr	4699	10	0.550	0.750	1	0.35
tr	4516	1	1.000	1.000	0	0.1
tr	4597	15	0.633	0.867	0	0.0
tr	4092	3	0.833	1.000	0	0.579
tr	2238	1	1.000	1.000	0	0.4
tr	3785	2	0.750	1.000	0	0.65
tr	3598	3	1.000	1.000	1	0.5
tr	4269	3	0.167	0.333	0	0.65
tr	3196	5	0.800	0.800	0	0.5
tr	2533	18	0.722	0.806	many	0.56
lv	3923	138	0.598	0.746	0	0.52
lv	2299	88	0.631	0.773	0	0.164
lv	122	2	0.000	0.250	many	0.0
lv	1147	118	0.648	0.746	many	0.4
lv	277	14	0.500	0.750	0	0.0
lv	2494	46	0.630	0.761	1	0.27
lv	4760	10	0.500	0.950	0	0.589
lv	4763	51	0.667	0.745	0	0.0
lv	5000	1	1.000	1.000	0	0.4
lv	2573	3	0.667	0.667	1	0.0
lv	4532	4	0.000	0.000	0	0.0
lv	4766	13	0.615	0.769	1	0.0
lv	582	5	0.400	0.500	1	0.3
lv	2100	6	0.583	0.833	1	0.0
lv	4783	39	0.603	0.821	0	0.0
lv	4569	1	0.000	0.000	0	0.381
lv	4204	1	0.500	0.500	0	0.5
lv	4780	2	0.500	1.000	0	0.0
lv	1546	5	0.700	0.800	0	0.0
lv	4802	2	0.500	0.500	1	0.1
lv	696	70	0.557	0.679	0	0.5
lv	4806	15	0.500	0.667	0	0.4
lv	3794	1	0.000	0.500	0	0.0
lv	1612	14	0.643	0.714	many	0.433
lv	4441	36	0.699	0.810	0	0.0
lv	1891	1	1.000	1.000	many	0.0
lv	2383	108	0.597	0.755	1	0.0
lv	4836	1	0.500	0.500	0	0.0
lv	5	1	0.500	0.500	many	0.001
lv	4781	2	0.500	0.500	0	0.0
lv	4969	130	0.577	0.777	0	0.603
lv	4968	167	0.557	0.757	0	0.475
lv	4844	2	0.250	0.750	0	0.0
lv	4845	92	0.636	0.826	many	0.0
lv	4846	179	0.718	0.883	1	0.002
lv	4847	111	0.635	0.752	0	0.554
lv	2077	82	0.622	0.815	1	0.597
lv	2682	14	0.607	0.714	0	0.662
lv	3108	4	0.625	0.625	0	0.4
lv	2460	10	0.550	0.750	0	0.0
lv	1441	6	0.500	0.667	1	0.0
lv	5148	2	0.500	0.750	0	0.0
lv	5149	7	0.714	0.857	0	0.552
lv	4749	1	1.000	1.000	0	0.0
lv	4975	2	0.750	1.000	1	0.64
lv	4776	33	0.621	0.758	0	0.667
lv	4777	205	0.537	0.707	0	0.332
lv	4774	45	0.656	0.756	0	0.433
lv	4775	32	0.578	0.750	0	0.0
lv	4773	20	0.450	0.650	0	0.005
lv	488	178	0.584	0.795	many	0.5
lv	4974	1	1.000	1.000	0	0.0
lv	4804	12	0.542	0.625	0	0.556
lv	4543	23	0.457	0.543	0	0.0
lv	1332	45	0.544	0.756	1	0.414
lv	1914	5	0.600	0.800	0	0.2
lv	4778	89	0.579	0.758	0	0.0
lv	4793	1	0.500	0.500	0	0.6
lv	1435	37	0.676	0.757	many	0.601
lv	3178	48	0.615	0.771	0	0.0
lv	4914	72	0.569	0.674	0	0.003
lv	4792	1	1.000	1.000	0	0.65
lv	4442	72	0.556	0.743	0	0.0
lv	4971	8	0.562	0.750	0	0.0
lv	1107	111	0.320	0.545	0	0.6
lv	4842	4	0.500	0.875	1	0.0
lv	4859	10	0.550	0.650	many	0.51
lv	1686	309	0.602	0.731	1	0.493
lv	4857	3	0.833	1.000	0	0.542
lv	510	25	0.600	0.740	1	0.6
lv	4976	1	0.500	1.000	0	0.0
lv	4977	2	0.000	0.500	1	0.0
lv	4970	3	0.500	0.500	0	0.0
lv	2160	28	0.607	0.750	0	0.0
lv	4972	15	0.500	0.700	1	0.0
lv	4973	2	0.250	0.250	1	0.0
lt	2716	1	0.500	1.000	1	0.4
lt	2715	1	0.500	0.500	1	0.4
lt	4400	3	0.333	0.667	0	0.0
lt	4243	151	0.457	0.632	many	0.0
lt	3829	15	0.433	0.600	0	0.667
lt	3828	6	0.333	0.750	0	0.517
lt	4103	247	0.439	0.605	many	0.573
lt	89	18	0.389	0.556	many	0.0
lt	3865	1	0.500	0.500	0	0.5
lt	90	55	0.491	0.700	1	0.435
lt	4752	3	0.333	0.333	0	0.3
lt	3440	2	0.250	0.500	0	0.25
lt	4220	8	0.688	0.875	1	0.288
lt	1891	15	0.400	0.567	many	0.0
lt	4222	1	0.500	0.500	1	0.4
lt	3439	21	0.643	0.857	1	0.41
lt	836	2	0.250	0.500	0	0.616
lt	2228	96	0.359	0.547	1	0.394
lt	2229	6	0.583	0.833	1	0.417
lt	2227	260	0.683	0.854	1	0.49
lt	4002	1	0.500	0.500	0	0.3
lt	4003	1	0.000	0.500	0	0.6
lt	4671	1	0.500	0.500	0	0.6
lt	4221	2	0.250	0.250	0	0.55
lt	282	116	0.461	0.642	many	0.0
lt	286	172	0.448	0.672	many	0.5
lt	1096	30	0.417	0.600	many	0.0
lt	4880	92	0.462	0.603	0	0.688
lt	3872	40	0.600	0.800	0	0.688
lt	2391	1	0.000	0.000	1	0.273
lt	3866	19	0.395	0.842	1	0.425
lt	3547	272	0.553	0.737	1	0.4
lt	4567	1	1.000	1.000	0	0.0
lt	3075	5	0.300	0.700	0	0.638
lt	4565	2	0.500	0.750	1	0.45
lt	4606	11	0.545	0.773	many	0.0
lt	129	85	0.612	0.776	many	0.639
lt	3158	1	0.000	1.000	0	0.342
lt	4509	11	0.591	0.909	1	0.409
lt	4508	2	0.500	1.000	1	0.35
lt	4686	4	0.500	0.750	1	0.0
lt	3884	3	0.333	0.833	0	0.695
lt	4566	2	0.250	0.500	1	0.35
lt	2276	290	0.440	0.597	many	0.684
lt	4682	7	0.786	1.000	1	0.414
lt	4683	5	0.700	0.800	1	0.52
lt	4680	522	0.425	0.678	0	0.687
lt	4681	98	0.439	0.602	1	0.431
lt	2231	50	0.650	0.920	1	0.424
lt	2339	92	0.429	0.609	many	0.675
lt	5081	82	0.457	0.659	0	0.0
lt	2232	8	0.688	0.812	1	0.562
lt	4879	9	0.500	0.833	1	0.322
lt	4878	102	0.564	0.770	1	0.431
lt	3506	292	0.557	0.750	0	0.0
lt	3033	1	1.000	1.000	0	0.5
lt	1559	40	0.475	0.625	many	0.533
lt	4755	1	0.500	1.000	0	0.1
lt	3794	4	0.625	0.875	0	0.0
lt	4585	12	0.417	0.708	0	0.408
lt	4584	67	0.858	0.918	1	0.542
lt	4586	1	0.000	0.500	0	0.4
lt	806	20	0.300	0.400	1	0.3
lt	805	1	0.000	0.500	1	0.3
lt	2148	9	0.556	0.833	many	0.542
th	4080	3	0.333	0.500	0	0.033
